lambda,alpha,method,repetitions,coverage_mean,coverage_se,coverage_ci_lower,coverage_ci_upper,coverage_simultaneous_lower,coverage_simultaneous_upper,finite_radius_mean,finite_radius_median_mean,infinite_radius_rate_mean,ess_mean,exact_tv_mean,exact_l1_mean,population_logistic_regret_mean,classifier_l1_bound_mean,exact_tv_lower_bound_mean,classifier_lower_bound_mean,coverage_minus_tv_bound_mean
1.0,0.05,unweighted,50,0.812858,0.0027699526113974865,0.8072915718241142,0.8184244281758858,0.8031997268460942,0.8225162731539057,1.1658602786064147,1.1658602786064147,0.0,500.0,0.46417342872686507,0.9283468574537301,0.14382704582847514,10.726678734015488,0.48582657127313494,-9.776678734015489,0.32703142872686514
1.0,0.1,estimated_ratio,50,0.918214,0.00383666416543947,0.9105039346999517,0.9259240653000482,0.9048363160796526,0.9315916839203473,1.273928877343893,1.2735663223266602,0.0,175.07375980367928,0.007618061017859406,0.02352512726795364,7.397046936404726e-05,0.21263629863834305,0.8923819389821405,0.687363701361657,0.025832061017859433
1.0,0.1,estimated_ratio_clipped,50,0.9079960000000001,0.0043063872447842875,0.8993419908313924,0.9166500091686078,0.8929804852415587,0.9230115147584416,1.2655323618683814,1.2647871708869933,0.0,191.04264154318906,0.03168952405150699,0.054580423626153056,0.000470566831477394,0.6123119090978055,0.8683104759484928,0.2876880909021944,0.03968552405150701
1.0,0.1,oracle_ratio,50,0.918428,0.003618548632267035,0.9111562542742483,0.9256997457257518,0.9058108415087958,0.9310451584912043,1.2740009775915146,1.2730640363693237,0.0,175.03424135333253,4.3368086899420185e-18,0.0,0.0,0.0,0.9,0.9,0.018427999999999972
1.0,0.1,unweighted,50,0.69026,0.004372971716425005,0.6814721843260058,0.6990478156739942,0.675012318448427,0.705507681551573,1.000983211994171,1.000983211994171,0.0,500.0,0.46417342872686507,0.9283468574537301,0.14382704582847514,10.726678734015488,0.43582657127313496,-9.826678734015488,0.2544334287268651
1.0,0.2,estimated_ratio,50,0.81399,0.0054193156055587915,0.803099477556881,0.8248805224431189,0.7950939256735501,0.8328860743264499,1.163760358547926,1.162964904308319,0.0,175.07375980367928,0.007618061017859406,0.02352512726795364,7.397046936404726e-05,0.21263629863834305,0.7923819389821406,0.5873637013616569,0.02160806101785942
1.0,0.2,estimated_ratio_clipped,50,0.794794,0.004943276951619053,0.7848601130477546,0.8047278869522454,0.7775577776625875,0.8120302223374125,1.1327019801256657,1.131111183166504,0.0,191.04264154318906,0.03168952405150699,0.054580423626153056,0.000470566831477394,0.6123119090978055,0.7683104759484931,0.18768809090219446,0.026483524051506998
1.0,0.2,oracle_ratio,50,0.813666,0.005567000152135578,0.8024786943491736,0.8248533056508264,0.7942549790692002,0.8330770209307998,1.1641870581879616,1.1636844277381897,0.0,175.03424135333253,4.3368086899420185e-18,0.0,0.0,0.0,0.7999999999999998,0.7999999999999998,0.013665999999999958
1.0,0.2,unweighted,50,0.47676999999999997,0.005871270244650152,0.46497124070585727,0.4885687592941427,0.4562980498482531,0.4972419501517468,0.8947148144245147,0.8947148144245147,0.0,500.0,0.46417342872686507,0.9283468574537301,0.14382704582847514,10.726678734015488,0.335826571273135,-9.926678734015484,0.14094342872686502
1.5,0.05,estimated_ratio,50,0.96052,0.004270129759534867,0.9519388529759102,0.9691011470240899,0.9456309078723906,0.9754090921276095,1.3286177220897677,1.3239257764816283,0.0,73.17582230660524,0.009262983054684553,0.03706044349663197,8.293975890517232e-05,0.2350744873792288,0.9407370169453153,0.714925512620771,0.019782983054684657
1.5,0.05,estimated_ratio_clipped,50,0.9249579999999998,0.006071132154108742,0.9127576031617638,0.9371583968382359,0.9037891711700151,0.9461268288299846,1.2953814030733108,1.3019644951820373,0.0,124.60375967232592,0.18651578921209752,0.28010516287050274,0.00916419227966759,2.707641256252775,0.7634842107879024,-1.7576412562527752,0.16147378921209757
1.5,0.05,oracle_ratio,50,0.96052,0.004270129759534867,0.9519388529759102,0.9691011470240899,0.9456309078723906,0.9754090921276095,1.3292057632627488,1.325808424949646,0.0,72.8496230342271,4.445228907190568e-18,0.0,0.0,0.0,0.9500000000000002,0.9500000000000002,0.010520000000000038
1.5,0.05,unweighted,50,0.708746,0.004826719179817312,0.6990463446596623,0.7184456553403377,0.6919161914018117,0.7255758085981883,1.0765224623680114,1.0765224623680114,0.0,500.0,0.6374857267977343,1.2749714535954686,0.2722460216819491,14.757940823351989,0.31251427320226566,-13.807940823351991,0.3962317267977344
1.5,0.1,estimated_ratio,50,0.9088040000000001,0.006929318345601816,0.8948790134424933,0.9227289865575068,0.8846428468175174,0.9329651531824827,1.2807944975950718,1.2779909110069274,0.0,73.17582230660524,0.009262983054684553,0.03706044349663197,8.293975890517232e-05,0.2350744873792288,0.8907370169453155,0.6649255126207712,0.018066983054684585
1.5,0.1,estimated_ratio_clipped,50,0.8379039999999999,0.00742912358387514,0.8229746172122716,0.8528333827877281,0.8120001254817318,0.8638078745182679,1.2337551043431758,1.237866096496582,0.0,124.60375967232592,0.18651578921209752,0.28010516287050274,0.00916419227966759,2.707641256252775,0.7134842107879025,-1.8076412562527753,0.12441978921209751
1.5,0.1,oracle_ratio,50,0.9100980000000001,0.006698325401447251,0.8966372111430179,0.9235587888569823,0.8867422732143769,0.9334537267856232,1.2809808642587661,1.2782227993011475,0.0,72.8496230342271,4.445228907190568e-18,0.0,0.0,0.0,0.9,0.9,0.01009799999999998
1.5,0.1,unweighted,50,0.550058,0.004082606300401942,0.5418536954757645,0.5582623045242356,0.5358227648313937,0.5642932351686064,0.9443120813369751,0.9443120813369751,0.0,500.0,0.6374857267977343,1.2749714535954686,0.2722460216819491,14.757940823351989,0.26251427320226567,-13.857940823351992,0.28754372679773427
