sample_id,episode_id,task,relative_h5_path,context_indices,target_index,current_state,context_action,action,translation_action_norm,rotation_action_norm,gripper_action_abs,score
652d1f1bf60b08bb5fdd421d,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[80, 88]",96,"[0.28218447795384327, -0.15803558799871056, 0.21783707334525157, 2.988726854324341, 0.23531846702098846, 0.8650481700897217, 0.9339207075536251]","[0.0202756921269846, 0.0023733027214154767, 0.027046908900696748, -0.05019859256475086, -0.05061700022760496, 0.04096083473450918, 0.0]","[0.05921473670335725, 0.011485327414827107, 0.07655469561517006, -0.12710197756392685, -0.042683738952724815, 0.03778781058837718, 0.0]",0.09746239895162155,0.13930087185911075,0.0,1.0730522871017456
e419f028007000cd11a4acb6,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[88, 96]",104,"[0.3413992146572005, -0.14655026058388346, 0.29439176896042163, 2.868365526199341, 0.30247485637664795, 0.8680891990661621, 0.9339207075536251]","[0.05921473670335725, 0.011485327414827107, 0.07655469561517006, -0.12710197756392685, -0.042683738952724815, 0.03778781058837718, 0.0]","[0.0784248613565014, 0.045783508969682724, 0.0980833941723755, -0.08983508206904113, -0.038013667835544274, 0.019481152231677026, 0.0]",0.13366727641699397,0.09947309286905792,0.0,1.245755910873413
e5f58cafa9ec78f6fe496cc6,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[96, 104]",112,"[0.4198240760137019, -0.10076675161420073, 0.3924751631327971, 2.7758450508117676, 0.34513822197914124, 0.8563979864120483, 0.9339207075536251]","[0.0784248613565014, 0.045783508969682724, 0.0980833941723755, -0.08983508206904113, -0.038013667835544274, 0.019481152231677026, 0.0]","[0.08392309949177895, 0.05749210569184914, 0.07777654853043298, -0.016979397732239523, -0.11307845992833432, 0.06870395489354106, 0.0]",0.12805319342560956,0.13339891853057587,0.0,1.2739903926849365
5d89a954e75747307197e322,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[104, 112]",120,"[0.5037471755054809, -0.04327464592235159, 0.4702517116632301, 2.675407886505127, 0.2822774350643158, 0.8931083083152771, 0.9339207075536251]","[0.08392309949177895, 0.05749210569184914, 0.07777654853043298, -0.016979397732239523, -0.11307845992833432, 0.06870395489354106, 0.0]","[0.08730144179205956, 0.0125451745502928, -0.03104515518340778, 0.018496394003385687, -0.07852370825723587, 0.08420777053497724, 0.0]",0.09350253902344871,0.11661491314607818,0.0,1.2983108758926392
505ecfdcff5f340faae08ff9,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[112, 120]",128,"[0.5910486172975404, -0.03072947137205879, 0.4392065564798223, 2.6246328353881836, 0.21833620965480804, 0.9654566645622253, 0.9339207075536251]","[0.08730144179205956, 0.0125451745502928, -0.03104515518340778, 0.018496394003385687, -0.07852370825723587, 0.08420777053497724, 0.0]","[0.06368884207283654, -0.08460414568168395, -0.08461791468799923, -0.023931094202787738, 0.04561406821649072, -0.09565370411849569, 0.0]",0.13555191462038385,0.10864148195137108,0.0,1.4578642845153809
64fb2e2b57f06fd6569f42a2,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[120, 128]",136,"[0.654737459370377, -0.11533361705374275, 0.3545886417918231, 2.649385690689087, 0.2638916075229645, 0.876261293888092, 0.9339207075536251]","[0.06368884207283654, -0.08460414568168395, -0.08461791468799923, -0.023931094202787738, 0.04561406821649072, -0.09565370411849569, 0.0]","[-0.010555392776842032, -0.08639380643736967, -0.08543764334113935, 0.011510841763226157, 0.07406644592989475, -0.10299490987111656, 0.0]",0.12196268694604444,0.12738245307004994,0.0,1.329429030418396
9c94d975f4035167ff02b475,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[128, 136]",144,"[0.6441820665935349, -0.20172742349111242, 0.26915099845068374, 2.7166812419891357, 0.3018783926963806, 0.7916338443756104, 0.9339207075536251]","[-0.010555392776842032, -0.08639380643736967, -0.08543764334113935, 0.011510841763226157, 0.07406644592989475, -0.10299490987111656, 0.0]","[-0.01180415193852058, -0.024115023990003093, -0.0398800763381007, 0.012716274967004355, 0.06175849823297774, 0.005514985173398216, 0.0]",0.04807590741482519,0.06329479294927806,0.0,0.9290723204612732
b5ad8e1409f9719e72f0c818,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[136, 144]",152,"[0.6323779146550144, -0.2258424474811155, 0.22927092211258304, 2.772667169570923, 0.33578401803970337, 0.8143118619918823, 0.9339207075536251]","[-0.01180415193852058, -0.024115023990003093, -0.0398800763381007, 0.012716274967004355, 0.06175849823297774, 0.005514985173398216, 0.0]","[-0.0015298167625252823, -0.009706761292663069, 9.042049747715053e-05, -0.00181243440616536, 0.01455078268239629, 0.018871733675734522, -0.10572687777526235]",0.009826989874117575,0.02389879760730293,0.10572687777526235,0.5475046634674072
8f83bb71fdb1a340865bea4d,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[144, 152]",160,"[0.6308480978924891, -0.23554920877377858, 0.2293613426100602, 2.782597303390503, 0.3470737934112549, 0.8365218043327332, 0.8281938297783628]","[-0.0015298167625252823, -0.009706761292663069, 9.042049747715053e-05, -0.00181243440616536, 0.01455078268239629, 0.018871733675734522, -0.10572687777526235]","[0.0006097247858487531, -0.0010125968849032108, 0.0020292845817138083, -0.0010765387836554968, -0.003618806061218338, -0.0007789395563959538, -0.6211453610483337]",0.0023484277036722634,0.003855053812068434,0.6211453610483337,0.6228280663490295
99fcc43474dd846f030287c4,956e6ac0f731794e,data/folding/foldjacketsleeve_v0/run_0001,data/folding/foldjacketsleeve_v0/run_0001/episode.h5,"[152, 160]",168,"[0.6314578226783378, -0.2365618056586818, 0.231390627191774, 2.77897572517395, 0.34544605016708374, 0.8345118165016174, 0.20704846873002902]","[0.0006097247858487531, -0.0010125968849032108, 0.0020292845817138083, -0.0010765387836554968, -0.003618806061218338, -0.0007789395563959538, -0.6211453610483337]","[-0.005697759440128625, 0.014734347935764613, 0.027486408436581677, 0.020788101597534022, 0.04323680248474937, -0.017422603537726723, -0.20704847924849556]",0.031702809346686206,0.05104031123697654,0.20704847924849556,0.8579186201095581
